Author,Site,Text
David Smooke,https://hackernoon.com/,Google Search — How A Master’s Thesis Became An Idea Worth $70 Billion by Soundarya Balasubramani
David Smooke,https://hackernoon.com/,Revisiting How Serge and Larry Saw Advertising in 1998 by Gennaro Cuofano
David Smooke,https://hackernoon.com/,Build a Google Home App with PubNub Functions by Kaushik Ravikumar
David Smooke,https://hackernoon.com/,"How I set up room-cleaning automation with Google Home, Home-Assistant and Xiaomi vacuum cleaner by Muh Hon Cheng"
David Smooke,https://hackernoon.com/,“This Is Going to Be Huge”: Google Founders Collection Comes to Computer History Museum by Computer History Museum
David Smooke,https://hackernoon.com/,"Google + Machine Learning + Getting Started = Awesomeness, and Good Cucumbers by BeeHyve"
David Smooke,https://hackernoon.com/,Instance Segmentation in Google Colab with Custom Dataset by RomRoc
David Smooke,https://hackernoon.com/,Train Your Machine Learning Models on Google’s GPUs for Free — Forever by Nick Bourdakos
David Smooke,https://hackernoon.com/,Implement Google Maps in ReactJs by Mohammed Chisti
David Smooke,https://hackernoon.com/,Let’s make Reusable Web Components: Google Maps by Just Chris
David Smooke,https://hackernoon.com/,Contributing to Golang using Google’s Pixelbook by Daniela Petruzalek
David Smooke,https://hackernoon.com/,Getting Started with Go Development in the new Google Pixelbook by Daniela Petruzalek
David Smooke,https://hackernoon.com/,Google Cirq and the New World of Quantum Programming by Jesus Rodriguez
David Smooke,https://hackernoon.com/,Building an automated dashboard with Google Sheets (with example) by Nick Boyce
David Smooke,https://hackernoon.com/,Google Sheets As Your Database by Just Chris
David Smooke,https://hackernoon.com/,Web Scraping With Google Sheets by SeattleDataGuy
David Smooke,https://hackernoon.com/,A Recommendation Engine Framework in TensorFlow by James Kirk
David Smooke,https://hackernoon.com/,Building a Facial Recognition Pipeline with Deep Learning in Tensorflow by Cole Murray
David Smooke,https://hackernoon.com/,Creating insanely fast image classifiers with MobileNet in TensorFlow by Matt Harvey
David Smooke,https://hackernoon.com/,9 Things You Should Know About TensorFlow by Cassie Kozyrkov
David Smooke,https://hackernoon.com/,Query a custom AutoML model with Cloud Functions and Firebase by Sara Robinson
David Smooke,https://hackernoon.com/,Meeting The YouTube CEO by Felix Josemon
David Smooke,https://hackernoon.com/,Thanks Google! For giving startups a chance** at independence and prosperity
David Smooke,https://hackernoon.com/,
David Smooke,https://hackernoon.com/,Onwards!
David Smooke,https://hackernoon.com/,David Smooke
David Smooke,https://hackernoon.com/,"*We decided to leave some of our more critical articles of Google, like How Google Will Collapse, off this particular list"
David Smooke,https://hackernoon.com/," But rest assured, this grant won’t impact our editorial line"
David Smooke,https://hackernoon.com/," Whatever tech or company you are in favor or not in favor of, there is always a place for well written stories by tech professionals on Hacker Noon"
David Smooke,https://hackernoon.com/, Contribute today
David Smooke,https://hackernoon.com/,
David Smooke,https://hackernoon.com/,"**If you are a rapidly growing startup thinking about building on Google Cloud Platform, you can apply for credits yourself! Apply here"
David Smooke,https://hackernoon.com/,
David Smooke,https://hackernoon.com/,"In honor of Google’s support, we’ve dug into the Hacker Noon library, and would like to share 50 stories about Google*:"
Packt_Pub,https://hackernoon.com/,"Learn how to generate lyrics using deep (multi-layer) LSTM in this article by Matthew Lamons, founder, and CEO of Skejul — the AI platform to help people manage their activities, and Rahul Kumar, an AI scientist, deep learning practitioner, and independent researcher"
Packt_Pub,https://hackernoon.com/,
Packt_Pub,https://hackernoon.com/,This article will show you how to create a deep LSTM model suited for the task of generating music lyrics
Packt_Pub,https://hackernoon.com/, Here’s your goal: to build and train a model that outputs entirely new and original lyrics that is in the style of an arbitrary number of artists
Packt_Pub,https://hackernoon.com/, You can refer to the code file found at Lyrics-ai (https://github
Packt_Pub,https://hackernoon.com/,com/PacktPublishing/Python-Deep-Learning-Projects/tree/master/Chapter06/Lyrics-ai) for this exercise
Packt_Pub,https://hackernoon.com/,
Packt_Pub,https://hackernoon.com/,"To build a model that can generate lyrics, you’ll need a huge amount of lyric data, which can easily be extracted from various sources"
Packt_Pub,https://hackernoon.com/, You can find the code files at https://github
Packt_Pub,https://hackernoon.com/,com/PacktPublishing/Python-Deep-Learning-Projects/tree/master/Chapter06/Lyrics-ai
Packt_Pub,https://hackernoon.com/, These files contain a text file called lyrics_data
Packt_Pub,https://hackernoon.com/,"txt which includes lyrics from around 10,000 songs and stored them in"
Packt_Pub,https://hackernoon.com/,
Packt_Pub,https://hackernoon.com/,"Now that you have your data, convert this raw text into the one-hot encoding version:"
Packt_Pub,https://hackernoon.com/,"The overall objective of the pre-processing module is to convert the raw text data into one-hot encoding, as shown in the following diagram:"
Packt_Pub,https://hackernoon.com/,This figure represents the data preprocessing part
Packt_Pub,https://hackernoon.com/, The raw lyrics data is used to build the vocabulary mapping which is further been transformed into the on-hot encoding
Packt_Pub,https://hackernoon.com/," After the successful execution of the pre-processing module, a binary file will be dumped as {dataset_filename}"
Packt_Pub,https://hackernoon.com/,vocab
Packt_Pub,https://hackernoon.com/," This vocab file is one of the mandatory files that need to be fed into the model during the training process, along with the dataset"
Packt_Pub,https://hackernoon.com/,
Packt_Pub,https://hackernoon.com/,This article will take an approach from the Keras model and use TensorFlow to write each layer from scratch
Packt_Pub,https://hackernoon.com/, TensorFlow gives you a more fine-tuned control over your model’s architecture
Packt_Pub,https://hackernoon.com/," For this model, use the code in the following block to create two placeholders that will store the input and output values:"
Packt_Pub,https://hackernoon.com/,"Next, store the weights and bias in the variables that you’ve created:"
Packt_Pub,https://hackernoon.com/,"You can build this model using multiple LSTM layers, with the basic LSTM cells assigning each layer with the specified number of cells, as shown in the following diagram:"
Packt_Pub,https://hackernoon.com/,The following is the code for this:
Packt_Pub,https://hackernoon.com/,"Now that you have the mandatory inputs, that is, the dataset file path, the vocab file path, and the model name initiate the training process"
Packt_Pub,https://hackernoon.com/, Define all hyperparameters for the model:
Packt_Pub,https://hackernoon.com/,"Since this is a batch training the model, divide the dataset into batches of a defined batch_size using the Batch module:"
Packt_Pub,https://hackernoon.com/,Each batch will return two arrays
Packt_Pub,https://hackernoon.com/," One will be the input vector of the input sequence, which will have a shape of [batch_size, sequence_length, vocab_size], and the other array will hold the label vector, which will have a shape of [batch_size, vocab_size]"
Packt_Pub,https://hackernoon.com/,
Packt_Pub,https://hackernoon.com/,"Now, initialize your model and create the optimizer function"
Packt_Pub,https://hackernoon.com/," In this model, you used the Adam Optimizer"
Packt_Pub,https://hackernoon.com/," Then, you’ll train your model and perform the optimization over each batch:"
Packt_Pub,https://hackernoon.com/,"Once the model completes its training, the checkpoints are stored"
Packt_Pub,https://hackernoon.com/, You can use them later for inferencing
Packt_Pub,https://hackernoon.com/, The following is a graph of the accuracy and the loss that occurred during the training process:
Packt_Pub,https://hackernoon.com/,You can see that accuracy getting increased and loss getting reduced over the period of time
Packt_Pub,https://hackernoon.com/,
Packt_Pub,https://hackernoon.com/,"Now that the model is ready, you can use it to make predictions"
Packt_Pub,https://hackernoon.com/, Start by defining all parameters
Packt_Pub,https://hackernoon.com/," While building inference, you need to provide some seed text, just like you did in the previous model"
Packt_Pub,https://hackernoon.com/," Along with this, you should also provide the path of the vocab file and the output file in which you will store the generated lyrics"
Packt_Pub,https://hackernoon.com/," Also, provide the length of the text that you need to generate:"
Packt_Pub,https://hackernoon.com/,"Next, load the model by providing the name of model that you used in the training step in the preceding code, and restore the vocabulary from the file:"
Packt_Pub,https://hackernoon.com/,"Use the stack methods to store the generated characters, append the stack, and then use the same stack to feed it into the model in an interactive fashion:"
Packt_Pub,https://hackernoon.com/,"After successful execution, you’ll get your own freshly brewed, AI-generated lyrics reviewed and published"
Packt_Pub,https://hackernoon.com/, The following is one sample of such lyrics
Packt_Pub,https://hackernoon.com/, Some spellings have been modified so that the sentences make sense:
Packt_Pub,https://hackernoon.com/,"Here, you can see that the model has learned in the way it has generated the paragraphs and sentences with appropriate spacing"
Packt_Pub,https://hackernoon.com/, It still lacks perfection and also doesn’t make sense
Packt_Pub,https://hackernoon.com/,
Packt_Pub,https://hackernoon.com/,"Seeing signs of success — The first task is to create a model that can learn, and then the second one is used to improve on that model"
Packt_Pub,https://hackernoon.com/, This can be obtained by training the model with a larger training dataset and longer training durations
Packt_Pub,https://hackernoon.com/,
Packt_Pub,https://hackernoon.com/,"If you found this article interesting, you can explore Python Deep Learning Projects to master deep learning and neural network architectures using Python and Keras"
Packt_Pub,https://hackernoon.com/, Python Deep Learning Projects imparts all the knowledge needed to implement complex deep learning projects in the field of computational linguistics and computer vision
Packt_Pub,https://hackernoon.com/,
Packt_Pub,https://hackernoon.com/,Data pre-processing
Packt_Pub,https://hackernoon.com/,Defining the model
Packt_Pub,https://hackernoon.com/,Training the deep TensorFlow-based LSTM model
Packt_Pub,https://hackernoon.com/,Inference
Packt_Pub,https://hackernoon.com/,Output
Hashnode,https://hackernoon.com/,"Today, I was asked by my employer for my GitHub password"
Hashnode,https://hackernoon.com/," This is something I’m not willing to give out, especially since I work on other projects (outside of work) and am not willing to compromise anyone’s data"
Hashnode,https://hackernoon.com/,
Hashnode,https://hackernoon.com/,Does anyone have any advice on how to respond to this request?
Hashnode,https://hackernoon.com/,This may be more of a rant here:
Hashnode,https://hackernoon.com/,I ask this because the manager in question demands passwords from everyone for every bit of software and every single device their subordinates use
Hashnode,https://hackernoon.com/, That data is kept on a spreadsheet right on their desktop!!! They also remote in to work devices using insecure software and I’m basically waiting for the next data hack
Hashnode,https://hackernoon.com/,
Hashnode,https://hackernoon.com/,UPDATE 1
Hashnode,https://hackernoon.com/,UPDATE 2
Hashnode,https://hackernoon.com/,The answer which received the most appreciations was written by Terence Eden
Hashnode,https://hackernoon.com/,
Hashnode,https://hackernoon.com/,I’m going to respectfully disagree with the other answers
Hashnode,https://hackernoon.com/," Jobs are hard to come by, and sometimes we have to stay in abusive relationships in order to put food on the table"
Hashnode,https://hackernoon.com/,
Hashnode,https://hackernoon.com/,"Your long term plan should be to leave this company, or get them to change their policies"
Hashnode,https://hackernoon.com/,
Hashnode,https://hackernoon.com/,Your short term plan is this:
Hashnode,https://hackernoon.com/,"Your employer will not be able to log in without your 2FA code, and you’ll be able to check for failed login attempts"
Hashnode,https://hackernoon.com/,
Hashnode,https://hackernoon.com/,To be clear — this is not a long term practical solution
Hashnode,https://hackernoon.com/," If you work in a large company, you should contact their information security team"
Hashnode,https://hackernoon.com/," If you work in a regulated environment, you should discuss this with your regulators"
Hashnode,https://hackernoon.com/,
Hashnode,https://hackernoon.com/,"If you are being threatened or bullied, talk to your Trade Union to see how they can help"
Hashnode,https://hackernoon.com/,
Hashnode,https://hackernoon.com/,"And, of course, start looking for a new job"
Hashnode,https://hackernoon.com/,
Hashnode,https://hackernoon.com/,"Ultimately, no, you shouldn’t have to hand over your password"
Hashnode,https://hackernoon.com/, But 2FA will give you some protection and some breathing room until you can find a better solution
Hashnode,https://hackernoon.com/,
Hashnode,https://hackernoon.com/,Read the rest of the answers on Hashnode and let us know what would you do in this situation
Hashnode,https://hackernoon.com/,
Stewart Hillhouse,https://hackernoon.com/,"If 2018 was the year of Big Data, then 2019 is going to be the year of using that data to tell a meaningful story"
Stewart Hillhouse,https://hackernoon.com/,
Stewart Hillhouse,https://hackernoon.com/,Most digital and physical products now require data collection in one form or another in order to function properly
Stewart Hillhouse,https://hackernoon.com/," Compare television to YouTube; most programs and ads on TV don’t resonate with me, while everything I see on YouTube is there for a strategic, data-driven reason"
Stewart Hillhouse,https://hackernoon.com/,
Stewart Hillhouse,https://hackernoon.com/,Consumers are becoming increasingly aware that their data is worth a lot to the service provider
Stewart Hillhouse,https://hackernoon.com/, The transaction looks like this:
Stewart Hillhouse,https://hackernoon.com/,Your data is used to attract advertisers to fund the platform
Stewart Hillhouse,https://hackernoon.com/," In return, you get a customized experience based on your observed behaviour and preferences"
Stewart Hillhouse,https://hackernoon.com/,
Stewart Hillhouse,https://hackernoon.com/,"Between the data breaches, Facebook fiascos, and companies continually refining our digital identities, data have been on everyone’s minds"
Stewart Hillhouse,https://hackernoon.com/,
Stewart Hillhouse,https://hackernoon.com/,"The opportunity for businesses with data in the coming year revolves around how we use the data to deliver personalized, convenient, and magical experiences to the customers"
Stewart Hillhouse,https://hackernoon.com/," Doing so does not require more data, it requires you to design your data to tell a better story"
Stewart Hillhouse,https://hackernoon.com/,
Stewart Hillhouse,https://hackernoon.com/,A well-understood example of a data story is Fitbit tracking your everyday actions and then delivering them in a simple to understand metric: number of steps per day
Stewart Hillhouse,https://hackernoon.com/," They further simplified this by making it five LED lights represent 10,000 steps on some models"
Stewart Hillhouse,https://hackernoon.com/," The story is simple; if you’ve got 4 blinking lights on your wrist at the end of the day, then you know it’s time to get off the couch and take a lap of the block before hitting the hay"
Stewart Hillhouse,https://hackernoon.com/,
Stewart Hillhouse,https://hackernoon.com/,I’d say that most consumers now understand that their data is being collected anywhere and everywhere
Stewart Hillhouse,https://hackernoon.com/, The issue is that not every service provider returns the favour by presenting the data back to the user in a way that’s meaningful to them
Stewart Hillhouse,https://hackernoon.com/, They don’t tell a story
Stewart Hillhouse,https://hackernoon.com/,
Stewart Hillhouse,https://hackernoon.com/,The most timely example of a great data story is 2018 Wrapped that Spotify delivered earlier this month to every one of their over 191 Million users
Stewart Hillhouse,https://hackernoon.com/, It came in the form of an email celebrating being a customer for another year
Stewart Hillhouse,https://hackernoon.com/," When you clicked on the link, it brought you to a website asking you to sign in to see “how you listened”"
Stewart Hillhouse,https://hackernoon.com/,
Stewart Hillhouse,https://hackernoon.com/,"To most recipients, the My Year In Review playlist was a personalized trip down memory lane, reminding you of artists and songs that you might have binged for a week then put back on the virtual shelf to rediscover later"
Stewart Hillhouse,https://hackernoon.com/, This might remind people of the nostalgia of picking out a CD from the shelf and reminiscing as you look over the album artwork
Stewart Hillhouse,https://hackernoon.com/,
Stewart Hillhouse,https://hackernoon.com/,"The top ten lists of artists, songs, and genres are nice to validate your assumptions of what you listened to this year, but the storytelling comes when they make a customized playlist of 100 songs that will remind YOU of 2018"
Stewart Hillhouse,https://hackernoon.com/, It’s different than a radio station playing THEIR top 100 songs of the year because you might not have actually enjoyed any of them
Stewart Hillhouse,https://hackernoon.com/," While artists like Ariana Grande are getting tons of attention for being the most listened to artists of the year, there were also a lot of people not listening to her, so why would I want her to end up on My Year In Review?"
Stewart Hillhouse,https://hackernoon.com/,They then introduce you to a Tastebreakers playlist that offers you a playlist of 100 songs from genres or artists that you don’t often listen to but they’re willing to bet that you’ll enjoy
Stewart Hillhouse,https://hackernoon.com/, They are able to offer that playlist to you with such confidence because they’ve collected mountains of data on your listening habits
Stewart Hillhouse,https://hackernoon.com/," In my case, I averaged 2"
Stewart Hillhouse,https://hackernoon.com/,"8 hours per day or over 61,000 minutes of listening time over the last 12 months"
Stewart Hillhouse,https://hackernoon.com/,
Stewart Hillhouse,https://hackernoon.com/,This is a data story
Stewart Hillhouse,https://hackernoon.com/," To keep track of the number of minutes you listened to your CD collection over the last year would be a very burdensome task, but not for Spotify"
Stewart Hillhouse,https://hackernoon.com/," It’s able to sit quietly and non-judgementally, listening to your musical life"
Stewart Hillhouse,https://hackernoon.com/," Spotify knows way, way more about your listening habits than they’re letting on with 2018 Wrapped"
Stewart Hillhouse,https://hackernoon.com/," But rather than overwhelm(or maybe terrify) you, they change the narrative and tell you a story"
Stewart Hillhouse,https://hackernoon.com/," We’re willing to give up our personal data as long as the products we get in return are enjoyable, convenient, and personalized to you"
Stewart Hillhouse,https://hackernoon.com/,
Stewart Hillhouse,https://hackernoon.com/,I personally would love to see what else Spotify has collected on my listening habits
Stewart Hillhouse,https://hackernoon.com/," I’m sure they know the ideal length of a song I enjoy, the beats per minute, and album cover colour I’m attracted to most"
Stewart Hillhouse,https://hackernoon.com/, I’m also sure that they’re not going to share that story with their users anytime soon because it’s that ideal mix of data put through an algorithm that creates the magic of Your Discover Weekly playlist that I look forward to
Stewart Hillhouse,https://hackernoon.com/,
Stewart Hillhouse,https://hackernoon.com/,"You can learn a lot about anything if you spend that much time observing behaviours, and that’s where data is going to be taking us into 2019"
Stewart Hillhouse,https://hackernoon.com/," We’ve figured out how to collect data, now it will come down to how are we going to use it"
Stewart Hillhouse,https://hackernoon.com/, How are we going to use data to tell a story?
Stewart Hillhouse,https://hackernoon.com/,"YouTube, with over 1"
Stewart Hillhouse,https://hackernoon.com/,9 Billion monthly active users also tried to create an end of the year thank you to their users that ended up backfiring big-time
Stewart Hillhouse,https://hackernoon.com/, YouTube Rewind was released the same day as 2018 Wrapped and is an eight-minute-long video featuring creators and memes from the platform meant to induce nostalgia
Stewart Hillhouse,https://hackernoon.com/,
Stewart Hillhouse,https://hackernoon.com/,"Instead of creating an organic buzz around the community, it has gone down as the most disliked video on YouTube of all time"
Stewart Hillhouse,https://hackernoon.com/," At the time of writing this, it had over 14 Million dislikes"
Stewart Hillhouse,https://hackernoon.com/,
Stewart Hillhouse,https://hackernoon.com/,"If Spotify has mountains of data, then YouTube (through the Google network) would have mountains on mountains of data that they could have leveraged for this project"
Stewart Hillhouse,https://hackernoon.com/,
Stewart Hillhouse,https://hackernoon.com/,"It wasn’t personalized, convenient, or magical"
Stewart Hillhouse,https://hackernoon.com/," Because of that, it was a flop"
Stewart Hillhouse,https://hackernoon.com/," Instead of increasing customer trust, it has added to the distaste in some of the recent activities occurring on the platform"
Stewart Hillhouse,https://hackernoon.com/," Instead of generating millions of positive user-generated posts, it has created thousands of reaction videos talking about how bad it is"
Stewart Hillhouse,https://hackernoon.com/," As the age-old saying goes, “any publicity is good publicity”, but I don’t think that that’s what they were trying to do"
Stewart Hillhouse,https://hackernoon.com/,
Stewart Hillhouse,https://hackernoon.com/,They had the opportunity to show the magic that their platform could create by stitching together custom characters to match the watching habits of the account
Stewart Hillhouse,https://hackernoon.com/, They could have introduced foreign content creators
Stewart Hillhouse,https://hackernoon.com/," Instead, they smashed all the featured creator’s names at the end credits"
Stewart Hillhouse,https://hackernoon.com/,
Stewart Hillhouse,https://hackernoon.com/,"I could go on about all the opportunities YouTube missed out on, but I’ll end it here"
Stewart Hillhouse,https://hackernoon.com/," There are a lot of things YouTube Rewind did really poorly, especially compared to Spotify 2018 Wrapped"
Stewart Hillhouse,https://hackernoon.com/,
Stewart Hillhouse,https://hackernoon.com/,Let this be a lesson to others about how data stories are going to be more crucial than ever in 2019
Stewart Hillhouse,https://hackernoon.com/, Others should learn from how simple and elegant their data delivery is to their customers without overdoing it
Stewart Hillhouse,https://hackernoon.com/," 2018 Wrapped is a beautifully engaging website, but not much more"
Stewart Hillhouse,https://hackernoon.com/," There’s no real interaction with the content, no ability to explore, and no ability to play music from the web page"
Stewart Hillhouse,https://hackernoon.com/," What there is, however, is the ability to share with others"
Stewart Hillhouse,https://hackernoon.com/,
Stewart Hillhouse,https://hackernoon.com/,What makes a good story? The ability to retell it
Stewart Hillhouse,https://hackernoon.com/," By sharing your story with the world, you keep the data flowing, adding to the network effect that makes data seriously powerful"
Stewart Hillhouse,https://hackernoon.com/," As Kevin Kelly puts it,"
Stewart Hillhouse,https://hackernoon.com/,So let’s satisfy these bits of data
Stewart Hillhouse,https://hackernoon.com/," Let’s connect them in new ways, remix them, and tell a new type of story"
Stewart Hillhouse,https://hackernoon.com/," If we don’t, we’ll be just another YouTube Rewind in a sea of data"
Stewart Hillhouse,https://hackernoon.com/,
Stewart Hillhouse,https://hackernoon.com/,Looking To 2019
Stewart Hillhouse,https://hackernoon.com/,Spotify 2018 Wrapped
Stewart Hillhouse,https://hackernoon.com/,And Now A Bad Example
Stewart Hillhouse,https://hackernoon.com/,Consider This Everyone’s Warning
Stewart Hillhouse,https://hackernoon.com/,"Thanks for reading! I’m the co-founder of GoDo, a data design firm working to help businesses make their data useful"
Stewart Hillhouse,https://hackernoon.com/," Feel free to reach out here, on Twitter, or LinkedIn"
Stewart Hillhouse,https://hackernoon.com/,
Sophia Brooke,https://hackernoon.com/,"Since Big Data has proven its usability in retail, marketing, and other areas, healthcare managers are now thinking about how to reap the benefits of this technology for their own problems"
Sophia Brooke,https://hackernoon.com/," Artificial intelligence in the form of Natural Language Processing (NLP) can improve critical aspects of the patient-doctor relationship and can even go beyond this, simplifying the process of insurance payment"
Sophia Brooke,https://hackernoon.com/,
Sophia Brooke,https://hackernoon.com/,"The expected advancement comes from making the clinical documentation more accessible through automatic indexing, thus adding search-ability"
Sophia Brooke,https://hackernoon.com/, Another growth direction is the automatic voice-to-text feature which will enable the creation of automated digital records while allowing medical staff to focus their attention on patients instead of writing
Sophia Brooke,https://hackernoon.com/, This is solving the problem that more than 83% of physicians have reported: burnout
Sophia Brooke,https://hackernoon.com/,
Sophia Brooke,https://hackernoon.com/,"AI-powered personal assistants like Siri, Cortana or Alexa are already part of our daily lives, and we’re used to asking them for information, interacting with them in various ways and relying on their help"
Sophia Brooke,https://hackernoon.com/," However, these are general-purpose tools"
Sophia Brooke,https://hackernoon.com/," To perform in the medical field, it would be useful to have similar, medical-grade assistants"
Sophia Brooke,https://hackernoon.com/,
Sophia Brooke,https://hackernoon.com/,These virtual nurses could take notes and help doctors or even their human counterparts
Sophia Brooke,https://hackernoon.com/," For example, a smart system could take notes while a human nurse assesses a patient’s vital signs through voice activation, thus freeing up the nurse’s hands"
Sophia Brooke,https://hackernoon.com/,
Sophia Brooke,https://hackernoon.com/,"Also, the NLP-capable system can check on the patient to make sure they have taken their medicine, re-order some drugs as it sees that stocks are declining"
Sophia Brooke,https://hackernoon.com/," Chatbots can also take on some of the work currently performed by office assistants, nurses or even doctors for smaller practices"
Sophia Brooke,https://hackernoon.com/," These tools can also create semi-automatically generated e-mails, handling scheduling or calendar management"
Sophia Brooke,https://hackernoon.com/,
Sophia Brooke,https://hackernoon.com/,The rise of technology has made most of us very independent and self-reliant
Sophia Brooke,https://hackernoon.com/, We don’t ask for directions anymore; we don’t need outside help
Sophia Brooke,https://hackernoon.com/," However, this attitude only works fine with non-critical aspects of our lives"
Sophia Brooke,https://hackernoon.com/, Self-diagnosis using Google is incredibly dangerous
Sophia Brooke,https://hackernoon.com/," However, there are ways to create technology to improve our health in other ways"
Sophia Brooke,https://hackernoon.com/,
Sophia Brooke,https://hackernoon.com/,"Most clinics give their patients the option to access their data online, for example, seeing their results on portals or e-mails"
Sophia Brooke,https://hackernoon.com/, This is an advantage for patients as most of them can’t wait to learn if they are okay or not
Sophia Brooke,https://hackernoon.com/, Text analysis of their EHR could help them translate specialized medical terms into simple information about the state of their health
Sophia Brooke,https://hackernoon.com/, This would contribute to the right decisions regarding lifestyle changes and active management of their conditions
Sophia Brooke,https://hackernoon.com/," Also, it would mean that fewer visits to the doctor’s office would be required, thus helping those who live in remote areas or have limited mobility"
Sophia Brooke,https://hackernoon.com/,
Sophia Brooke,https://hackernoon.com/,"Through smart tools like these, you could increase the average patient’s knowledge of their health by helping them understand specialized language by simply asking the system, much like you ask Siri"
Sophia Brooke,https://hackernoon.com/, Such a tool can make a huge difference for the peace of mind of the patient and save them and the doctor time which would have been used on such explanations
Sophia Brooke,https://hackernoon.com/,
Sophia Brooke,https://hackernoon.com/,The next step is to create a medical lay-man dictionary of terms
Sophia Brooke,https://hackernoon.com/, Such a tool can be put together by applying NLP to medical records and could become the equivalent of Google Translate for medical documents
Sophia Brooke,https://hackernoon.com/,
Sophia Brooke,https://hackernoon.com/,"As NLP turns text into actionable information, this opens up new opportunities related to unstructured data lying around in medical records or other annotations doctors have made in their observation sheets"
Sophia Brooke,https://hackernoon.com/," Each patient has a unique story, development, and individual issues"
Sophia Brooke,https://hackernoon.com/," If these individual data points could be gathered, centralized and structured, new patterns of disease and cures would emerge"
Sophia Brooke,https://hackernoon.com/,
Sophia Brooke,https://hackernoon.com/,Free text has this kind of limitation compared to structured data which is suitable for statistical analysis
Sophia Brooke,https://hackernoon.com/," Due to the advancements of text analysis algorithms, experts from InData Labs highlight that better care will be available in a few different ways"
Sophia Brooke,https://hackernoon.com/,
Sophia Brooke,https://hackernoon.com/,"First, processed textual observations can be analyzed and used as exclusion criteria"
Sophia Brooke,https://hackernoon.com/," This is important in the case of drug cross-interactions, allergies and the existence of secondary conditions"
Sophia Brooke,https://hackernoon.com/," If such a rule is met, the patient will not be given a certain drug which could cause them more harm than good, thus preventing additional complications"
Sophia Brooke,https://hackernoon.com/,"Next, the information can be included in quantifiable structures and become the foundation for reports"
Sophia Brooke,https://hackernoon.com/," Qualitative information such as “heavy smoker” or “occasional drinker” could be understood by the software and coded appropriately, in a similar way this would be made on a scaled survey"
Sophia Brooke,https://hackernoon.com/," Subsequently, this could be used to compute various risk scores"
